Mode,Time(s),Value
ohm2W,141.9529724121,33724.2774
ohm2W,142.1528930664,33722.7804
ohm2W,142.3601074219,33721.0738
ohm2W,142.5601654053,33719.8761
ohm2W,142.7601928711,33719.2174
ohm2W,142.9603424072,33719.1575
ohm2W,143.1602630615,33719.6366
ohm2W,143.3701477051,33720.3252
ohm2W,143.5702209473,33721.7325
ohm2W,143.7701721191,33723.5289
ohm2W,143.9703063965,33725.1457
ohm2W,144.1702880859,33726.8224
ohm2W,144.3702697754,33729.1279
ohm2W,144.5704193115,33731.7028
ohm2W,144.7704315186,33733.7987
ohm2W,144.9703826904,33735.0562
ohm2W,145.1705017090,33735.8945
ohm2W,145.3704528809,33736.5532
ohm2W,145.5803527832,33737.0024
ohm2W,145.7803497314,33737.2419
ohm2W,145.9803009033,33737.5712
ohm2W,146.1804046631,33737.1820
ohm2W,146.3803558350,33736.0742
